,vaccination_date,agerange,firstdailydose,firstdailydosecumulative,seconddailydosecumulative,singledailydosecumulative,thirddailydosecumulative,combinedalldosescumulative,fullyvaccinatedcumulative,firstboosterdailydosecumulative,secondboosterdailydosecumulative,seconddailydose,fullyvaccinated,firstboosterdailydose,singledailydose,secondboosterdailydose,thirddailydose
233,2016-05-20 11:00:00,50-64,,66,3,0,0,0,3,0,0,1.0,1.0,,,,
234,2016-06-13 11:00:00,65 and Older,1.0,34,3,0,0,0,3,0,0,,,,,,
235,2016-08-25 11:00:00,18-49,1.0,116,1,0,0,0,1,0,0,,,,,,
236,2016-09-16 11:00:00,18-49,1.0,117,1,0,0,0,1,0,0,,,,,,
237,2016-12-16 10:00:00,18-49,1.0,118,1,0,0,0,1,0,0,,,,,,
238,2017-01-21 10:00:00,65 and Older,1.0,35,3,0,0,0,3,0,0,,,,,,
239,2017-01-23 10:00:00,65 and Older,1.0,36,3,0,0,0,3,0,0,,,,,,
240,2017-02-17 10:00:00,50-64,1.0,67,3,0,0,0,3,0,0,,,,,,
241,2017-03-02 10:00:00,65 and Older,1.0,37,3,0,0,0,3,0,0,,,,,,
242,2017-03-27 11:00:00,12-17,1.0,24,1,0,0,0,1,0,0,,,,,,
243,2017-03-30 11:00:00,65 and Older,,37,4,0,0,0,4,0,0,1.0,1.0,,,,
244,2017-04-05 11:00:00,18-49,1.0,119,1,0,0,0,1,0,0,,,,,,
245,2017-04-14 11:00:00,65 and Older,1.0,38,4,0,0,0,4,0,0,,,,,,
246,2017-05-20 11:00:00,12-17,1.0,25,1,0,0,0,1,0,0,,,,,,
247,2017-05-28 11:00:00,18-49,1.0,120,1,0,0,0,1,0,0,,,,,,
248,2017-07-17 11:00:00,65 and Older,1.0,39,4,0,0,0,4,0,0,,,,,,
249,2017-08-21 11:00:00,18-49,1.0,121,1,0,0,0,1,0,0,,,,,,
250,2017-10-17 11:00:00,50-64,1.0,68,3,0,0,0,3,0,0,,,,,,
251,2017-11-13 10:00:00,18-49,1.0,122,1,0,0,0,1,0,0,,,,,,
252,2017-11-15 10:00:00,18-49,1.0,123,1,0,0,0,1,0,0,,,,,,
253,2017-11-17 10:00:00,50-64,1.0,69,3,0,0,0,3,0,0,,,,,,
254,2017-12-17 10:00:00,18-49,1.0,124,1,0,0,0,1,0,0,,,,,,
255,2018-01-18 10:00:00,18-49,1.0,125,1,0,0,0,1,0,0,,,,,,
256,2018-01-22 10:00:00,65 and Older,1.0,40,4,0,0,0,4,0,0,,,,,,
257,2018-02-18 10:00:00,50-64,1.0,70,3,0,0,0,3,0,0,,,,,,
258,2018-02-18 10:00:00,65 and Older,1.0,41,4,0,0,0,4,0,0,,,,,,
259,2018-03-05 10:00:00,65 and Older,1.0,42,4,0,0,0,4,0,0,,,,,,
260,2018-03-18 11:00:00,12-17,1.0,26,1,0,0,0,1,0,0,,,,,,
261,2018-03-18 11:00:00,50-64,1.0,71,3,0,0,0,3,0,0,,,,,,
262,2018-03-20 11:00:00,65 and Older,1.0,43,4,0,0,0,4,0,0,,,,,,
263,2018-04-01 11:00:00,65 and Older,1.0,44,4,0,0,0,4,0,0,,,,,,
264,2018-04-08 11:00:00,18-49,1.0,126,1,0,0,0,1,0,0,,,,,,
265,2018-04-18 11:00:00,50-64,1.0,72,3,0,0,0,3,0,0,,,,,,
266,2018-04-24 11:00:00,18-49,1.0,127,1,0,0,0,1,0,0,,,,,,
267,2018-04-27 11:00:00,18-49,1.0,128,1,0,0,0,1,0,0,,,,,,
268,2018-05-15 11:00:00,18-49,,128,2,0,0,0,2,0,0,1.0,1.0,,,,
269,2018-06-18 11:00:00,18-49,2.0,130,2,0,0,0,2,0,0,,,,,,
270,2018-07-11 11:00:00,50-64,1.0,73,3,0,0,0,3,0,0,,,,,,
271,2018-09-28 11:00:00,50-64,1.0,74,3,0,0,0,3,0,0,,,,,,
272,2018-10-29 11:00:00,65 and Older,1.0,45,4,0,0,0,4,0,0,,,,,,
273,2019-01-01 10:00:00,65 and Older,1.0,46,4,0,0,0,4,0,0,,,,,,
274,2019-01-03 10:00:00,18-49,1.0,131,2,0,0,0,2,0,0,,,,,,
275,2019-01-09 10:00:00,18-49,1.0,132,2,0,0,0,2,0,0,,,,,,
276,2019-01-15 10:00:00,65 and Older,1.0,47,4,0,0,0,4,0,0,,,,,,
277,2019-01-19 10:00:00,65 and Older,1.0,48,4,0,0,0,4,0,0,,,,,,
278,2019-01-30 10:00:00,65 and Older,1.0,49,4,0,0,0,4,0,0,,,,,,
279,2019-02-01 10:00:00,18-49,1.0,133,2,0,0,0,2,0,0,,,,,,
280,2019-02-11 10:00:00,65 and Older,1.0,50,4,0,0,0,4,0,0,,,,,,
281,2019-02-12 10:00:00,65 and Older,,50,5,0,0,0,5,0,0,1.0,1.0,,,,
282,2019-02-19 10:00:00,12-17,1.0,27,1,0,0,0,1,0,0,,,,,,
283,2019-02-19 10:00:00,50-64,1.0,75,3,0,0,0,3,0,0,,,,,,
284,2019-02-19 10:00:00,65 and Older,1.0,51,5,0,0,0,5,0,0,,,,,,
285,2019-02-22 10:00:00,12-17,1.0,28,1,0,0,0,1,0,0,,,,,,
286,2019-02-23 10:00:00,65 and Older,1.0,52,5,0,0,0,5,0,0,,,,,,
287,2019-02-24 10:00:00,18-49,1.0,134,2,0,0,0,2,0,0,,,,,,
288,2019-03-01 10:00:00,18-49,2.0,136,2,0,0,0,2,0,0,,,,,,
